"Name","Description","DataType","Default","Value","Compliance"
"FirewallPublicProfileLogFileName","Windows Firewall: Public: Logging: Name","String","%SystemRoot%\System32\logfiles\firewall\publicfw.log",,"@{Status=NotCompliant; Reason=(null) does not match the pattern: .log; Severity=Informational}"
"FirewallPublicProfileLogSuccessfulConnections","Windows Firewall: Public: Logging: Log successful connections","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"FirewallPublicProfileOutboundConnection","Windows Firewall: Public: Outbound connections","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"FirewallPublicProfileState","Windows Firewall: Public: Firewall state","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"FirewallPublicProfileUnicastResponse","Windows Firewall: Public: Allow unicast response","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"ForceAuditPolicySubcategorySettingsToOverrideAuditPolicyCategorySettings","Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"GroupPolicyDisableBackgroundPolicy","Turn off background refresh of Group Policy","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"GroupPolicyEnableCDP","Continue experiences on this device","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"GroupPolicyNoBackgroundPolicy","Configure registry policy processing: Do not apply during periodic background processing","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"GroupPolicyNoGPOListChanges","Configure registry policy processing: Process even if the Group Policy objects have not changed","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"ICMNC_ExitOnISP","Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"ImpersonateClient","Impersonate a client after authentication","Array","*S-1-5-32-544 *S-1-5-6 *S-1-5-19 *S-1-5-20","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-99-216390572-1995538116-3857911515-2404958512-2623887229"" is not one of the expected values: [""*S-1-5-32-544"",""*S-1-5-6"",""*S-1-5-19"",""*S-1-5-20""]; Severity=Important}"
"IPSourceRoutingProtectionLevel","MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Informational}"
"IPv6SourceRoutingProtectionLevel","MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Informational}"
"KDCHashAlgorithms","Configure hash algorithms for certificate logon (KDC)","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KDCHashAlgorithmsSHA1","Configure hash algorithms for certificate logon (KDC) - SHA1","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KDCHashAlgorithmsSHA256","Configure hash algorithms for certificate logon (KDC) - SHA256","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KDCHashAlgorithmsSHA384","Configure hash algorithms for certificate logon (KDC) - SHA384","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KDCHashAlgorithmsSHA512","Configure hash algorithms for certificate logon (KDC) - SHA512","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KerberosHashAlgorithms","Configure hash algorithms for certificate logon (Kerberos)","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KerberosHashAlgorithmsSHA1","Configure hash algorithms for certificate logon (Kerberos) - SHA1","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KerberosHashAlgorithmsSHA256","Configure hash algorithms for certificate logon (Kerberos) - SHA256","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KerberosHashAlgorithmsSHA384","Configure hash algorithms for certificate logon (Kerberos) - SHA384","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"KerberosHashAlgorithmsSHA512","Configure hash algorithms for certificate logon (Kerberos) - SHA512","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"LANManagerAuthenticationLevel","Network security: LAN Manager authentication level","Integer","5",,"@{Status=NotCompliant; Reason=(null) is not equal to 5; Severity=Critical}"
"LanmanWorkstationEnableInsecureGuestLogons","Enable insecure guest logons","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"LDAPClientSigningRequirements","Network security: LDAP client signing requirements","Integer","1","1","@{Status=Compliant; Reason=1 is within the allowed range: 1 to 2; Severity=Critical}"
"LetEveryonePermissionsApplyToAnonymousUsers","Network access: Let Everyone permissions apply to anonymous users","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"LimitLocalAccountUseOfBlankPasswordsToConsoleLogonOnly","Accounts: Limit local account use of blank passwords to console logon only","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"LogonBlockUserFromShowingAccountDetailsOnSignin","Block user from showing account details on sign-in","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"LogonDontEnumerateConnectedUsers","Do not enumerate connected users on domain-joined computers","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"LSAPPLProtection","Enable LSA PPL Protection","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Critical}"
"MachineInactivityLimit","Interactive logon: Machine inactivity limit","Integer","900",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Important}"
"MaximumMachineAccountPasswordAge","Domain member: Maximum machine account password age","Integer","30","30","@{Status=Compliant; Reason=30 is equal to 30; Severity=Critical}"
"MessageTextUserLogon","Interactive logon: Message text for users attempting to log on","String",,"","@{Status=NotCompliant; Reason="""" is equal to """"; Severity=Warning}"
"MessageTextUserLogonTitle","Interactive logon: Message title for users attempting to log on","String",,"","@{Status=NotCompliant; Reason="""" is equal to """"; Severity=Warning}"
"MinimumSessionSecurityForNTLMSSPBasedClients","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients","Integer","537395200","536870912","@{Status=NotCompliant; Reason=536870912 is not equal to 537395200; Severity=Critical}"
"MinimumSessionSecurityForNTLMSSPBasedServers","Network security: Minimum session security for NTLM SSP based (including secure RPC) servers","Integer","537395200","536870912","@{Status=NotCompliant; Reason=536870912 is not equal to 537395200; Severity=Critical}"
"MinimumSMBClientVersion","Mandate the minimum version of SMB Client","Integer","768",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [768,770,785]; Severity=Critical}"
"MinimumSMBServerVersion","Mandate the minimum version of SMB Server","Integer","768",,"@{Status=NotCompliant; Reason=(null) is not one of the allowed values: [768,770,785]; Severity=Critical}"
"MitigationOptionsFontBlocking","WindowsNT MitigationOptions MitigationOptions FontBocking","String","1000000000000",,"@{Status=NotCompliant; Reason=(null) is not equal to 1000000000000; Severity=Critical}"
"NetBTNodeTypeConfiguration","NetBT NodeType configuration","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Warning}"
"NetworkConnectionsNC_ShowSharedAccessUI","Prohibit use of Internet Connection Sharing on your DNS domain network","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"NetworkProviderHardenedPathsNETLOGON","Hardened UNC Paths - NETLOGON","Array","RequireMutualAuthentication=1 RequireIntegrity=1",,"@{Status=NotCompliant; Reason=(null) is missing one or more of the required values: [""RequireMutualAuthentication=1"",""RequireIntegrity=1""]; Severity=Warning}"
"NetworkProviderHardenedPathsSYSVOL","Hardened UNC Paths - SYSVOL","Array","RequireMutualAuthentication=1 RequireIntegrity=1",,"@{Status=NotCompliant; Reason=(null) is missing one or more of the required values: [""RequireMutualAuthentication=1"",""RequireIntegrity=1""]; Severity=Warning}"
"NetworkSecurityForceLogoffWhenLogonHoursExpire","Network security: Force logoff when logon hours expire","Integer","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Warning}"
"OnlyElevateUIAccessApplicationsThatAreInstalledInSecureLocations","User Account Control: Only elevate UIAccess applications that are installed in secure locations","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"OverrideMinimumEnabledDTLSVersionClient","Override Minimum Enabled DTLS Version Client","String","1.2","","@{Status=NotCompliant; Reason="""" is not equal to ""1.2""; Severity=Important}"
"OverrideMinimumEnabledDTLSVersionServer","Override Minimum Enabled DTLS Version Server","String","1.2","","@{Status=NotCompliant; Reason="""" is not equal to ""1.2""; Severity=Critical}"
"OverrideMinimumEnabledTLSVersionClient","Override Minimum Enabled TLS Version Client","String","1.2","","@{Status=NotCompliant; Reason="""" does not match against any of the allowed values; Severity=Critical}"
"OverrideMinimumEnabledTLSVersionServer","Override Minimum Enabled TLS Version Server","String","1.2","","@{Status=NotCompliant; Reason="""" does not match against any of the allowed values; Severity=Critical}"
"PowerShellExecutionPolicyEnableTranscripting","Turn on PowerShell Transcription","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"PreventUsersFromInstallingPrinterDriversWhenConnectingToSharedPrinters","Devices: Prevent users from installing printer drivers","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Warning}"
"PrintersRestrictDriverInstallationToAdministrators","Limits print driver installation to Administrators","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"PrivacyAllowInputPersonalization","Allow Input Personalization","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"PromptUserToChangePasswordBeforeExpiration","Interactive logon: Prompt user to change password before expiration","Integer","14","5","@{Status=Compliant; Reason=5 is within the allowed range: 5 to 14; Severity=Informational}"
"RDPPortNumber","Detect change from default RDP port","Integer","3389","3389","@{Status=Compliant; Reason=3389 is equal to 3389; Severity=Critical}"
"RecoveryConsoleAllowFloppyCopyAndAllDrives","Recovery console: Allow floppy copy and access to all drives and all folders","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"RemoteAssistanceSolicitedRemoteAssistance","Configure Solicited Remote Assistance","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"RemoteAssistanceUnsolicitedRemoteAssistance","Configure Offer Remote Assistance","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"RemoteDesktopServicesClientConnectionEncryptionLevel","Set client connection encryption level","Integer","3",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Critical}"
"RemoteDesktopServicesDoNotAllowDriveRedirection","Do not allow drive redirection","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"RemoteDesktopServicesDoNotAllowPasswordSaving","Do not allow passwords to be saved","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"RemoteDesktopServicesPromptForPasswordUponConnection","Always prompt for password upon connection","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"RemoteDesktopServicesRequireSecureRPCCommunication","Require secure RPC communication","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"RemotelyAccessibleRegistryPaths","Network access: Remotely accessible registry paths","Array","System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion","System.Object[]","@{Status=Compliant; Reason=[""System\\CurrentControlSet\\Control\\ProductOptions"",""System\\CurrentControlSet\\Control\\Server Applications"",""Software\\Microsoft\\Windows NT\\CurrentVersion""] contains the expected values: [""System\\CurrentControlSet\\Control\\ProductOptions"",""System\\CurrentControlSet\\Control\\Server Applications"",""Software\\Microsoft\\Windows NT\\CurrentVersion""]; Severity=Critical}"
"RemotelyAccessibleRegistryPathsAndSubpaths","Network access: Remotely accessible registry paths and sub-paths","Array","System\CurrentControlSet\Control\Print\Printers System\CurrentControlSet\Services\Eventlog Software\Microsoft\OLAP Server Software\Microsoft\Windows NT\CurrentVersion\Print Software\Microsoft\Windows NT\CurrentVersion\Windows System\CurrentControlSet\Control\ContentIndex System\CurrentControlSet\Control\Terminal Server System\CurrentControlSet\Control\Terminal Server\UserConfig System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration Software\Microsoft\Windows NT\CurrentVersion\Perflib System\CurrentControlSet\Services\SysmonLog","System.Object[]","@{Status=Compliant; Reason=[""System\\CurrentControlSet\\Control\\Print\\Printers"",""System\\CurrentControlSet\\Services\\Eventlog"",""Software\\Microsoft\\OLAP Server"",""Software\\Microsoft\\Windows NT\\CurrentVersion\\Print"",""Software\\Microsoft\\Windows NT\\CurrentVersion\\Windows"",""System\\CurrentControlSet\\Control\\ContentIndex"",""System\\CurrentControlSet\\Control\\Terminal Server"",""System\\CurrentControlSet\\Control\\Terminal Server\\UserConfig"",""System\\CurrentControlSet\\Control\\Terminal Server\\DefaultUserConfiguration"",""Software\\Microsoft\\Windows NT\\CurrentVersion\\Perflib"",""System\\CurrentControlSet\\Services\\SysmonLog""] contains the expected values: [""System\\CurrentControlSet\\Control\\Print\\Printers"",""System\\CurrentControlSet\\Services\\Eventlog"",""Software\\Microsoft\\OLAP Server"",""Software\\Microsoft\\Windows NT\\CurrentVersion\\Print"",""Software\\Microsoft\\Windows NT\\CurrentVersion\\Windows"",""System\\CurrentControlSet\\Control\\ContentIndex"",""System\\CurrentControlSet\\Control\\Terminal Server"",""System\\CurrentControlSet\\Control\\Terminal Server\\UserConfig"",""System\\CurrentControlSet\\Control\\Terminal Server\\DefaultUserConfiguration"",""Software\\Microsoft\\Windows NT\\CurrentVersion\\Perflib"",""System\\CurrentControlSet\\Services\\SysmonLog""]; Severity=Critical}"
"RemoteManagementAllowBasicAuthentication_Client","Remote management (WinRM) Allow Basic authentication","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"RemoteManagementAllowBasicAuthentication_Service","Remote management (WinRM) Allow Basic authentication - Service","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Important}"
"RemoteManagementAllowRemoteServerManagement","Allow remote server management through WinRM","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"RemoteManagementAllowRemoteServerManagement_IPv4Filter","Allow remote server management through WinRM-IPv4Filter","Array","*",,"@{Status=NotCompliant; Reason=(null) is missing one or more of the required values: ""*""; Severity=Informational}"
"RemoteManagementAllowRemoteServerManagement_IPv6Filter","Allow remote server management through WinRM-IPv6Filter","Array","*",,"@{Status=NotCompliant; Reason=(null) is missing one or more of the required values: ""*""; Severity=Informational}"
"RemoteManagementAllowUnencryptedTraffic_Client","Remote management (WinRM) Allow unencrypted traffic","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"RemoteManagementAllowUnencryptedTraffic_Service","Remote management (WinRM) Allow unencrypted traffic - Service","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"RemoteManagementDisallowDigestAuthentication","Remote management (WinRM) Disallow Digest authentication","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Critical}"
"RemoteManagementDisallowStoringOfRunAsCredentials","Remote management (WinRM) Disallow WinRM from storing RunAs credentials","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"RemoteProcedureCallRestrictUnauthenticatedRPCClients","Restrict Unauthenticated RPC clients","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"RenameAdministratorAccount","Accounts: Rename administrator account","String",,"Administrator","@{Status=NotCompliant; Reason=""Administrator"" is equal to ""Administrator""; Severity=Warning}"
"RenameGuestAccount","Accounts: Rename guest account","String",,"Guest","@{Status=NotCompliant; Reason=""Guest"" is equal to ""Guest""; Severity=Warning}"
"RequireCaseInsensitivityForNonWindowsSubsystems","System objects: Require case insensitivity for non-Windows subsystems","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Warning}"
"RequireEncryption","Require Encryption","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Warning}"
"RequireStrongSessionKey","Domain member: Require strong (Windows 2000 or later) session key","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"RestrictAnonymousAccessToNamedPipesAndShares","Network access: Restrict anonymous access to Named Pipes and Shares","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"RestrictClientsAllowedToMakeRemoteCallsToSAM","Network access: Restrict clients allowed to make remote calls to SAM","String","O:BAG:BAD:(A,,RC,,;BA)",,"@{Status=NotCompliant; Reason=(null) does not match against any of the allowed values; Severity=Critical}"
"RSSDisableEnclosureDownload","Prevent downloading of enclosures","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"RunAllAdministratorsInAdminApprovalMode","User Account Control: Run all administrators in Admin Approval Mode","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"SafeDllSearchMode","MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended)","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"SAMRPCPasswordChangePolicy","Configure SAM change password RPC methods policy","Integer","2",,"@{Status=NotCompliant; Reason=(null) is not equal to 2; Severity=Critical}"
"SearchAllowIndexingEncryptedStoresOrItems","Allow indexing of encrypted files","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"SendUnencryptedPasswordToThirdPartySMBServers","Microsoft network client: Send unencrypted password to third-party SMB servers","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"ServerSPNTargetNameValidationLevel","Microsoft network server: Server SPN target name validation level","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"SharesThatCanBeAccessedAnonymously","Network access: Shares that can be accessed anonymously","Array","System.Object[]",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"SharingAndSecurityModelForLocalAccounts","Network access: Sharing and security model for local accounts","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"ShellDataExecutionPrevention","Turn off Data Execution Prevention for Explorer","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Critical}"
"ShutdownSystemImmediatelyIfUnableToLogSecurityAudits","Audit: Shut down system immediately if unable to log security audits","Integer","0","0","@{Status=Compliant; Reason=0 is equal to 0; Severity=Critical}"
"SmartCardRemovalBehavior","Interactive logon: Smart card removal behavior","String","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Important}"
"SmartScreenEnableSmartScreenInShell","Configure Windows Defender SmartScreen","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"SmartScreenPreventOverrideForFilesInShell","Configure Windows Defender SmartScreen - Warn and Prevent bypass (Added)","String","Block",,"@{Status=NotCompliant; Reason=(null) is not equal to ""Block""; Severity=Important}"
"StrengthenDefaultPermissionsOfInternalSystemObjects","System objects: Strengthen default permissions of internal system objects (e.g. Symbolic Links)","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"SwitchToTheSecureDesktopWhenPromptingForElevation","User Account Control: Switch to the secure desktop when prompting for elevation","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"SystemAllowTelemetry","Allow Diagnostic Data","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not a number; Severity=Warning}"
"SystemBootStartDriverInitialization","Boot-Start Driver Initialization Policy","Integer","3",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"SystemEnableSoftwareRestrictionPolicies","System settings: Use Certificate Rules on Windows Executables for Software Restriction Policies","Integer","1","0","@{Status=NotCompliant; Reason=0 is not equal to 1; Severity=Warning}"
"SystemLogonCacheSize","Interactive Logon: Number of previous logons to cache (in case Domain Controller is not available)","String","4","10","@{Status=NotCompliant; Reason=10 is greater than the maximum value 4; Severity=Informational}"
"SystemMinimizeInternetConnections","Minimize the number of simultaneous connections to the Internet or a Windows Domain","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"SystemWindowsSearchService","Disable Windows Search Service","Integer","4","4","@{Status=Compliant; Reason=4 is equal to 4; Severity=Critical}"
"TerminalServerTS_TEMP_DELETE","Do not delete temp folders upon exit","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"TerminalServerTS_TEMP_PER_SESSION","Do not use temporary folders per session","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"TerminalServerTS_USER_AUTHENTICATION_POLICY","Require user authentication for remote connections by using Network Level Authentication","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"TurnOff_Windows_Error_Reporting","Turn off Inventory Collector","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Informational}"
"TurnOffPrintingOverHTTP","Turn off printing over HTTP","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"UseAdminApprovalMode","User Account Control: Admin Approval Mode for the Built-in Administrator account","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"UserRightsAccessCredentialManagerAsTrustedCaller","Access Credential Manager as a trusted caller","String","","","@{Status=Compliant; Reason="""" is equal to """"; Severity=Warning}"
"UserRightsAccessFromNetwork","Access this computer from the network","Array","*S-1-5-32-544 *S-1-5-11","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-32-551"" is not one of the expected values: [""*S-1-5-32-544"",""*S-1-5-11""]; Severity=Critical}"
"UserRightsActAsPartOfTheOperatingSystem","Act as part of the operating system","String","","","@{Status=Compliant; Reason="""" is equal to """"; Severity=Critical}"
"UserRightsAdjustMemoryQuotasForProcess","Adjust memory quotas for a process","Array","*S-1-5-32-544 *S-1-5-19 *S-1-5-20","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544"",""*S-1-5-20"",""*S-1-5-19""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-19"",""*S-1-5-20""]; Severity=Warning}"
"UserRightsAllowLocalLogOn","Allow log on locally","Array","*S-1-5-32-544","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-32-551"" is not one of the expected values: [""*S-1-5-32-544""]; Severity=Critical}"
"UserRightsAllowLogOnThroughRemoteDesktop","Allow log on through Remote Desktop Services","Array","*S-1-5-32-544 *S-1-5-32-555","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-555"",""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-32-555""]; Severity=Critical}"
"UserRightsBackupFilesAndDirectories","Back up files and directories","Array","*S-1-5-32-544","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-32-551"" is not one of the expected values: [""*S-1-5-32-544""]; Severity=Critical}"
"UserRightsBypassTraverseChecking","Bypass traverse checking","Array","*S-1-5-32-544 *S-1-5-11 *S-1-5-32-551 *S-1-5-19 *S-1-5-20","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-32-545"" is not one of the expected values: [""*S-1-5-32-544"",""*S-1-5-11"",""*S-1-5-32-551"",""*S-1-5-19"",""*S-1-5-20""]; Severity=Critical}"
"UserRightsChangeSystemTime","Change the system time","Array","*S-1-5-32-544 *S-1-5-19","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544"",""*S-1-5-19""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-32-549"",""*S-1-5-19""]; Severity=Critical}"
"UserRightsChangeTimeZone","Change the time zone","Array","*S-1-5-32-544 *S-1-5-19","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544"",""*S-1-5-19""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-19""]; Severity=Critical}"
"UserRightsCreateGlobalObjects","Create global objects","Array","*S-1-5-32-544 *S-1-5-6 *S-1-5-19 *S-1-5-20","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-6"",""*S-1-5-32-544"",""*S-1-5-20"",""*S-1-5-19""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-6"",""*S-1-5-19"",""*S-1-5-20""]; Severity=Warning}"
"UserRightsCreatePageFile","Create a pagefile","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Critical}"
"UserRightsCreatePermanentSharedObjects","Create permanent shared objects","String","","","@{Status=Compliant; Reason="""" is equal to """"; Severity=Warning}"
"UserRightsCreateSymbolicLinks","Create symbolic links","Array","*S-1-5-32-544 *S-1-5-83-0","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-83-0""]; Severity=Critical}"
"UserRightsCreateToken","Create a token object","String","","","@{Status=Compliant; Reason="""" is equal to """"; Severity=Warning}"
"UserRightsDebugPrograms","Debug programs","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Critical}"
"UserRightsDenyAccessFromNetwork","Deny access to this computer from the network","Array","*S-1-5-32-546","System.Object[]","@{Status=NotCompliant; Reason=[] is missing one or more of the required values: ""*S-1-5-32-546""; Severity=Critical}"
"UserRightsDenyLocalLogOn","Deny log on locally","Array","*S-1-5-32-546","System.Object[]","@{Status=NotCompliant; Reason=[] is missing one or more of the required values: ""*S-1-5-32-546""; Severity=Critical}"
"UserRightsDenyLogOnAsBatchJob","Deny log on as a batch job","Array","*S-1-5-32-546","System.Object[]","@{Status=NotCompliant; Reason=[] is missing one or more of the required values: ""*S-1-5-32-546""; Severity=Critical}"
"UserRightsDenyLogOnAsService","Deny log on as a service","Array","*S-1-5-32-546","System.Object[]","@{Status=NotCompliant; Reason=[] is missing one or more of the required values: ""*S-1-5-32-546""; Severity=Critical}"
"UserRightsDenyRemoteDesktopServicesLogOn","Deny log on through Remote Desktop Services","Array","*S-1-5-32-546","System.Object[]","@{Status=NotCompliant; Reason=[] is missing one or more of the required values: ""*S-1-5-32-546""; Severity=Critical}"
"UserRightsEnableDelegation","Enable computer and user accounts to be trusted for delegation","String","","","@{Status=Compliant; Reason="""" is equal to """"; Severity=Critical}"
"UserRightsGenerateSecurityAudits","Generate security audits","Array","*S-1-5-19 *S-1-5-20 *S-1-5-82-3006700770-424185619-1745488364-794895919-4004696415","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-20"",""*S-1-5-19""] contains the expected values: [""*S-1-5-19"",""*S-1-5-20"",""*S-1-5-82-3006700770-424185619-1745488364-794895919-4004696415""]; Severity=Critical}"
"UserRightsIncreaseProcessWorkingSet","Increase a process working set","Array","*S-1-5-32-544 *S-1-5-19","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-32-545"" is not one of the expected values: [""*S-1-5-32-544"",""*S-1-5-19""]; Severity=Warning}"
